EDAD,SEXO_ESTUDIANTE,ESTADO_CIVIL_NOMBRE,ESTADO,ACDB1,APEB1,AAB1,BIM1
20,0,0.0,0,4.0,3.0,3.0,10.0
24,1,0.0,0,4.0,4.0,3.0,10.0
21,0,0.0,0,,,,
22,1,0.0,0,4.0,4.0,3.0,10.0
19,0,0.0,1,4.0,3.0,1.0,7.0
25,1,1.0,0,4.0,4.0,3.0,10.0
22,0,0.0,0,4.0,3.0,3.0,10.0
22,0,0.0,0,3.0,3.0,3.0,9.0
18,1,0.0,0,3.0,3.0,3.0,8.0
22,0,0.0,1,3.0,2.0,2.0,7.0
20,1,0.0,0,3.0,3.0,3.0,9.0
22,1,0.0,0,2.0,3.0,2.0,7.0
29,0,0.0,0,3.0,3.0,2.0,9.0
23,0,0.0,0,3.0,3.0,2.0,8.0
29,0,0.0,0,,,,
22,1,0.0,1,1.0,2.0,3.0,6.0
20,0,0.0,0,3.0,3.0,3.0,9.0
21,1,0.0,0,4.0,4.0,3.0,10.0
20,0,0.0,0,4.0,4.0,3.0,10.0
21,1,0.0,0,,,,
21,0,0.0,1,0.0,2.0,0.0,2.0
21,0,0.0,0,3.0,4.0,1.0,7.0
22,0,0.0,0,2.0,1.0,2.0,5.0
20,0,0.0,0,3.0,3.0,3.0,9.0
21,1,0.0,0,3.0,3.0,2.0,8.0
26,1,0.0,0,3.0,3.0,3.0,9.0
23,1,1.0,1,3.0,3.0,2.0,8.0
32,0,1.0,0,4.0,4.0,3.0,10.0
32,1,0.0,0,,,,
24,0,0.0,0,,,,
23,0,0.0,0,3.0,2.0,3.0,8.0
23,1,0.0,0,4.0,4.0,3.0,10.0
21,0,0.0,0,3.0,3.0,3.0,10.0
24,1,0.0,0,4.0,4.0,3.0,10.0
21,1,0.0,0,3.0,3.0,3.0,10.0
21,1,0.0,0,3.0,3.0,2.0,8.0
26,0,0.0,0,2.0,3.0,1.0,6.0
19,0,0.0,0,4.0,3.0,3.0,9.0
22,0,0.0,0,3.0,4.0,3.0,10.0
20,0,0.0,0,3.0,3.0,3.0,9.0
24,1,0.0,0,,,,
22,0,0.0,0,2.0,4.0,3.0,8.0
21,0,0.0,0,3.0,3.0,3.0,9.0
20,1,0.0,0,3.0,3.0,3.0,10.0
19,1,0.0,0,3.0,4.0,2.0,8.0
19,0,0.0,0,4.0,4.0,3.0,10.0
21,1,0.0,0,4.0,4.0,3.0,10.0
19,0,0.0,0,4.0,3.0,2.0,8.0
20,0,0.0,0,2.0,4.0,3.0,8.0
17,1,0.0,0,3.0,4.0,3.0,9.0
20,1,0.0,1,3.0,3.0,3.0,10.0
22,0,0.0,1,3.0,1.0,2.0,6.0
18,0,0.0,1,3.0,4.0,3.0,9.0
22,1,0.0,1,3.0,3.0,3.0,9.0
22,0,0.0,1,3.0,4.0,3.0,9.0
22,1,0.0,1,3.0,3.0,3.0,8.0
33,1,0.0,1,3.0,3.0,3.0,9.0
22,1,0.0,1,3.0,3.0,3.0,9.0
22,1,0.0,1,4.0,4.0,2.0,9.0
61,1,0.0,1,0.0,0.0,0.0,0.0
20,1,0.0,1,3.0,3.0,3.0,8.0
28,0,0.0,0,4.0,4.0,3.0,10.0
21,0,0.0,0,3.0,4.0,3.0,9.0
21,0,0.0,0,3.0,4.0,3.0,10.0
22,1,0.0,0,4.0,4.0,3.0,10.0
24,1,0.0,0,4.0,3.0,2.0,9.0
31,0,1.0,0,4.0,4.0,3.0,10.0
22,1,0.0,0,3.0,3.0,3.0,9.0
20,1,0.0,0,3.0,4.0,3.0,10.0
19,0,0.0,0,4.0,3.0,3.0,9.0
19,0,0.0,0,3.0,3.0,3.0,9.0
19,0,0.0,0,2.0,4.0,3.0,8.0
19,0,0.0,0,3.0,3.0,3.0,9.0
19,0,0.0,0,,,,
19,0,0.0,0,,,,
19,0,0.0,0,3.0,3.0,3.0,9.0
23,0,0.0,0,3.0,2.0,3.0,8.0
27,1,0.0,1,0.0,0.0,1.0,1.0
21,1,0.0,0,3.0,3.0,3.0,8.0
22,1,0.0,0,4.0,4.0,3.0,10.0
22,0,0.0,0,2.0,4.0,1.0,6.0
21,1,0.0,0,1.0,2.0,2.0,6.0
21,1,0.0,0,4.0,3.0,3.0,9.0
23,1,0.0,0,4.0,4.0,2.0,9.0
22,0,0.0,0,2.0,2.0,3.0,7.0
22,1,0.0,1,2.0,3.0,1.0,6.0
21,0,0.0,0,3.0,4.0,1.0,8.0
21,0,0.0,0,3.0,3.0,3.0,9.0
24,0,0.0,0,3.0,4.0,3.0,10.0
22,0,0.0,0,3.0,4.0,3.0,9.0
22,0,0.0,0,,,,
24,0,0.0,0,3.0,3.0,1.0,8.0
22,1,0.0,0,,,,
21,0,0.0,0,3.0,3.0,3.0,10.0
21,0,0.0,0,4.0,4.0,3.0,10.0
24,0,0.0,0,,,,
23,1,0.0,0,,,,
21,1,0.0,0,4.0,4.0,3.0,10.0
21,1,0.0,0,4.0,4.0,2.0,9.0
26,1,0.0,0,4.0,3.0,3.0,9.0
17,0,0.0,0,3.0,3.0,3.0,9.0
26,1,0.0,0,3.0,3.0,3.0,10.0
24,1,0.0,0,3.0,3.0,3.0,9.0
22,0,0.0,0,3.0,4.0,3.0,10.0
22,1,0.0,0,3.0,3.0,2.0,7.0
20,0,0.0,0,3.0,3.0,3.0,9.0
26,0,0.0,0,,,,
23,1,1.0,0,3.0,3.0,2.0,7.0
18,0,0.0,0,4.0,4.0,3.0,10.0
19,0,0.0,0,4.0,3.0,3.0,10.0
20,0,0.0,0,4.0,4.0,3.0,10.0
21,0,0.0,0,,,,
24,1,0.0,0,,,,
23,1,0.0,0,,,,
30,0,0.0,0,,,,
23,0,0.0,0,3.0,3.0,3.0,9.0
21,1,0.0,0,3.0,3.0,3.0,9.0
23,1,0.0,0,3.0,3.0,2.0,8.0
19,0,0.0,0,3.0,3.0,3.0,9.0
21,0,0.0,0,3.0,3.0,3.0,10.0
21,0,0.0,0,3.0,3.0,3.0,8.0
25,1,0.0,0,3.0,3.0,2.0,8.0
27,1,0.0,0,3.0,3.0,2.0,8.0
21,1,0.0,0,3.0,3.0,3.0,9.0
24,0,0.0,0,3.0,3.0,3.0,10.0
21,0,0.0,0,4.0,3.0,3.0,10.0
18,0,0.0,0,4.0,4.0,3.0,10.0
20,1,0.0,0,2.0,3.0,1.0,6.0
22,1,0.0,0,2.0,3.0,3.0,7.0
22,0,0.0,0,2.0,4.0,3.0,9.0
21,1,0.0,0,3.0,2.0,1.0,7.0
21,0,0.0,0,3.0,3.0,1.0,7.0
21,0,0.0,0,3.0,3.0,3.0,9.0
21,1,0.0,0,4.0,4.0,3.0,10.0
18,0,0.0,0,3.0,3.0,3.0,10.0
20,0,0.0,0,3.0,3.0,3.0,9.0
18,1,0.0,0,4.0,4.0,3.0,10.0
20,1,0.0,1,3.0,2.0,3.0,8.0
21,1,0.0,1,3.0,4.0,3.0,10.0
23,1,0.0,1,3.0,3.0,3.0,9.0
25,0,0.0,1,2.0,3.0,3.0,8.0
19,1,0.0,1,3.0,3.0,3.0,8.0
21,0,0.0,0,,,,
24,1,0.0,0,3.0,4.0,3.0,9.0
23,0,1.0,0,4.0,4.0,3.0,10.0
19,0,0.0,0,4.0,4.0,3.0,10.0
20,1,0.0,0,4.0,4.0,3.0,10.0
19,0,0.0,0,3.0,3.0,3.0,9.0
19,1,0.0,1,2.0,3.0,1.0,6.0
19,1,0.0,0,4.0,3.0,3.0,10.0
23,1,0.0,0,2.0,2.0,3.0,7.0
18,0,0.0,0,4.0,4.0,3.0,10.0
19,0,0.0,0,2.0,3.0,2.0,7.0
20,1,0.0,0,3.0,3.0,3.0,9.0
18,0,0.0,0,3.0,2.0,3.0,8.0
19,0,0.0,0,3.0,4.0,3.0,10.0
20,1,0.0,0,3.0,4.0,3.0,9.0
23,0,0.0,0,3.0,3.0,3.0,9.0
24,0,0.0,0,3.0,4.0,3.0,10.0
27,1,0.0,0,3.0,1.0,3.0,7.0
18,1,0.0,0,3.0,4.0,2.0,8.0
18,0,0.0,0,3.0,3.0,2.0,8.0
22,1,0.0,1,2.0,2.0,2.0,6.0
18,0,0.0,0,3.0,3.0,3.0,9.0
25,1,0.0,0,3.0,3.0,3.0,9.0
19,1,0.0,0,3.0,4.0,3.0,10.0
21,1,0.0,0,2.0,3.0,2.0,8.0
23,0,0.0,0,3.0,3.0,2.0,8.0
21,1,0.0,0,3.0,4.0,3.0,9.0
28,1,0.0,0,4.0,4.0,3.0,10.0
23,0,0.0,0,,,,
23,0,0.0,0,2.0,3.0,3.0,9.0
22,0,0.0,0,4.0,4.0,3.0,10.0
21,0,0.0,0,3.0,3.0,3.0,9.0
25,1,0.0,0,3.0,3.0,1.0,7.0
20,1,0.0,0,,,,
23,1,0.0,0,,,,
21,1,0.0,0,3.0,3.0,2.0,7.0
19,0,0.0,0,4.0,4.0,3.0,10.0
19,1,0.0,1,1.0,3.0,1.0,5.0
23,1,0.0,0,,,,
21,0,0.0,0,3.0,2.0,2.0,8.0
23,0,0.0,0,3.0,3.0,3.0,9.0
22,1,0.0,0,1.0,4.0,3.0,8.0
21,1,0.0,0,3.0,3.0,2.0,8.0
20,0,0.0,0,3.0,3.0,3.0,10.0
19,1,0.0,0,3.0,4.0,3.0,10.0
22,0,0.0,0,3.0,3.0,3.0,9.0
18,0,0.0,0,4.0,3.0,3.0,10.0
18,1,0.0,0,3.0,3.0,3.0,9.0
19,0,0.0,0,3.0,4.0,3.0,10.0
22,1,0.0,0,3.0,4.0,3.0,10.0
21,0,0.0,0,4.0,2.0,3.0,9.0
24,1,0.0,0,3.0,3.0,3.0,10.0
22,0,0.0,0,2.0,3.0,3.0,9.0
22,1,0.0,0,3.0,4.0,3.0,10.0
21,1,0.0,0,3.0,3.0,3.0,10.0
20,0,0.0,0,2.0,3.0,3.0,7.0
20,0,0.0,0,3.0,4.0,3.0,10.0
21,1,0.0,0,4.0,4.0,3.0,10.0
22,1,0.0,0,3.0,3.0,2.0,8.0
24,1,0.0,0,3.0,4.0,2.0,8.0
22,1,0.0,0,2.0,2.0,2.0,6.0
23,1,0.0,0,2.0,3.0,3.0,8.0
18,1,0.0,0,3.0,3.0,2.0,9.0
26,0,0.0,0,1.0,4.0,3.0,8.0
31,0,0.0,0,4.0,3.0,3.0,9.0
18,0,0.0,0,3.0,4.0,3.0,9.0
19,1,0.0,0,4.0,4.0,1.0,8.0
20,1,0.0,0,4.0,4.0,3.0,10.0
21,0,0.0,0,3.0,3.0,3.0,9.0
19,0,0.0,0,3.0,3.0,3.0,10.0
20,0,0.0,0,3.0,3.0,3.0,9.0
26,1,0.0,0,4.0,2.0,3.0,9.0
24,1,0.0,0,3.0,4.0,3.0,9.0
24,1,0.0,0,2.0,4.0,1.0,6.0
18,1,0.0,0,3.0,3.0,2.0,9.0
24,1,0.0,0,4.0,4.0,3.0,10.0
21,0,0.0,1,2.0,3.0,3.0,8.0
22,0,0.0,1,2.0,3.0,3.0,7.0
21,0,0.0,1,3.0,4.0,2.0,9.0
22,0,0.0,1,2.0,3.0,2.0,7.0
23,1,0.0,1,2.0,2.0,2.0,7.0
19,0,0.0,1,2.0,3.0,3.0,8.0
22,0,0.0,0,4.0,4.0,3.0,10.0
24,0,0.0,0,4.0,3.0,3.0,9.0
24,1,0.0,0,4.0,3.0,3.0,10.0
23,0,0.0,0,4.0,3.0,3.0,10.0
23,0,0.0,0,3.0,3.0,3.0,10.0
21,1,0.0,0,3.0,3.0,3.0,9.0
22,0,0.0,0,3.0,4.0,3.0,10.0
22,1,0.0,0,3.0,4.0,3.0,10.0
21,0,0.0,0,3.0,4.0,3.0,9.0
20,1,0.0,1,1.0,2.0,2.0,5.0
19,0,0.0,0,3.0,3.0,3.0,9.0
25,1,0.0,0,3.0,3.0,3.0,9.0
22,0,0.0,0,4.0,3.0,3.0,9.0
19,0,0.0,0,2.0,4.0,3.0,8.0
20,1,0.0,0,4.0,4.0,3.0,10.0
20,1,0.0,0,3.0,2.0,3.0,7.0
25,0,0.0,0,4.0,4.0,3.0,10.0
18,1,0.0,0,3.0,4.0,2.0,9.0
21,0,0.0,0,4.0,4.0,3.0,10.0
21,0,0.0,0,4.0,4.0,3.0,10.0
27,1,0.0,0,4.0,3.0,3.0,10.0
19,1,0.0,0,4.0,4.0,2.0,9.0
21,1,0.0,0,3.0,3.0,2.0,7.0
23,1,0.0,0,4.0,4.0,3.0,10.0
21,1,0.0,0,,,,
21,0,0.0,0,3.0,4.0,3.0,10.0
25,0,0.0,0,4.0,4.0,3.0,10.0
24,1,0.0,0,3.0,3.0,3.0,9.0
23,0,0.0,0,3.0,3.0,3.0,9.0
22,0,0.0,0,3.0,4.0,3.0,10.0
24,1,0.0,0,3.0,3.0,3.0,9.0
23,1,1.0,0,,,,
22,0,0.0,0,,,,
21,0,0.0,0,3.0,2.0,3.0,7.0
21,1,0.0,0,4.0,4.0,2.0,9.0
19,0,0.0,0,4.0,4.0,3.0,10.0
20,0,0.0,0,3.0,4.0,1.0,8.0
20,1,0.0,0,4.0,4.0,3.0,10.0
19,1,0.0,0,3.0,3.0,3.0,10.0
20,0,0.0,0,4.0,4.0,3.0,10.0
22,1,0.0,0,4.0,2.0,2.0,8.0
21,1,0.0,0,3.0,3.0,3.0,9.0
19,1,0.0,0,3.0,2.0,3.0,8.0
22,1,0.0,0,,,,
22,1,0.0,0,0.0,4.0,3.0,7.0
21,0,0.0,0,3.0,3.0,3.0,9.0
22,1,0.0,0,3.0,3.0,3.0,9.0
24,0,0.0,0,,,,
22,0,0.0,0,4.0,1.0,3.0,8.0
21,1,0.0,0,3.0,4.0,3.0,10.0
20,1,0.0,0,4.0,4.0,3.0,10.0
18,0,0.0,0,3.0,3.0,3.0,9.0
26,1,0.0,0,2.0,3.0,3.0,8.0
20,1,0.0,0,3.0,3.0,2.0,8.0
24,1,0.0,0,4.0,4.0,3.0,10.0
19,0,0.0,0,3.0,4.0,3.0,10.0
18,1,0.0,1,0.0,0.0,0.0,0.0
20,0,0.0,0,2.0,3.0,3.0,7.0
25,1,0.0,1,2.0,2.0,1.0,5.0
23,0,0.0,0,4.0,4.0,3.0,10.0
24,0,0.0,0,2.0,4.0,3.0,9.0
26,1,0.0,1,2.0,2.0,2.0,6.0
20,1,0.0,1,2.0,1.0,2.0,4.0
20,1,0.0,0,3.0,3.0,3.0,9.0
19,0,0.0,0,3.0,4.0,3.0,9.0
17,0,0.0,0,4.0,3.0,2.0,9.0
20,0,0.0,0,3.0,2.0,3.0,8.0
21,0,0.0,0,3.0,2.0,3.0,8.0
27,0,0.0,0,3.0,3.0,3.0,8.0
20,1,0.0,1,3.0,3.0,2.0,8.0
22,1,0.0,1,3.0,3.0,3.0,9.0
22,0,0.0,1,3.0,4.0,3.0,10.0
22,0,0.0,1,4.0,4.0,3.0,10.0
23,0,0.0,1,4.0,4.0,3.0,10.0
24,1,0.0,1,3.0,3.0,3.0,9.0
22,0,0.0,1,4.0,4.0,3.0,10.0
18,1,0.0,1,3.0,4.0,3.0,10.0
23,1,0.0,0,4.0,3.0,,6.0
25,1,0.0,0,4.0,3.0,3.0,10.0
22,0,0.0,0,4.0,2.0,2.0,8.0
23,0,0.0,0,,,,
22,0,0.0,0,3.0,3.0,3.0,8.0
23,1,0.0,0,4.0,4.0,3.0,10.0
23,1,0.0,1,2.0,1.0,0.0,3.0
19,0,0.0,0,3.0,4.0,3.0,10.0
23,1,0.0,0,4.0,4.0,3.0,10.0
20,1,0.0,0,4.0,4.0,3.0,10.0
19,0,0.0,0,3.0,4.0,3.0,9.0
21,0,0.0,0,3.0,4.0,2.0,9.0
20,0,0.0,0,3.0,3.0,3.0,9.0
20,0,0.0,0,3.0,4.0,3.0,9.0
19,1,0.0,0,3.0,3.0,3.0,10.0
17,0,0.0,0,3.0,4.0,3.0,9.0
19,0,0.0,0,4.0,3.0,3.0,10.0
19,0,0.0,0,3.0,4.0,3.0,9.0
20,1,0.0,0,4.0,3.0,3.0,10.0
18,0,0.0,0,4.0,4.0,3.0,10.0
21,1,0.0,0,,,,
20,1,0.0,0,3.0,4.0,3.0,10.0
22,1,0.0,0,2.0,4.0,3.0,9.0
20,0,0.0,0,3.0,4.0,3.0,10.0
19,0,0.0,0,3.0,3.0,3.0,9.0
20,0,0.0,0,4.0,4.0,3.0,10.0
26,1,1.0,0,4.0,4.0,3.0,10.0
21,1,0.0,0,,,,
20,1,0.0,0,4.0,3.0,3.0,9.0
21,1,0.0,0,4.0,3.0,1.0,7.0
21,0,0.0,0,4.0,3.0,3.0,9.0
22,0,0.0,0,3.0,4.0,3.0,10.0
22,0,0.0,0,3.0,3.0,3.0,10.0
25,1,0.0,0,4.0,4.0,2.0,9.0
20,0,0.0,0,3.0,4.0,3.0,9.0
20,1,0.0,0,4.0,3.0,3.0,10.0
20,0,0.0,0,4.0,4.0,3.0,10.0
20,1,0.0,0,4.0,4.0,3.0,10.0
22,1,0.0,0,3.0,4.0,2.0,9.0
22,1,0.0,0,,,,
18,1,0.0,0,3.0,3.0,3.0,10.0
19,0,0.0,0,3.0,3.0,2.0,7.0
20,1,0.0,0,3.0,3.0,3.0,9.0
24,1,0.0,1,2.0,3.0,0.0,4.0
23,0,0.0,0,,,,
22,0,0.0,0,2.0,4.0,2.0,8.0
24,0,1.0,0,3.0,3.0,3.0,8.0
18,0,0.0,0,4.0,4.0,3.0,10.0
21,1,0.0,0,3.0,3.0,3.0,9.0
19,0,0.0,0,3.0,4.0,3.0,10.0
25,1,0.0,0,3.0,3.0,3.0,8.0
21,1,0.0,0,3.0,3.0,3.0,9.0
24,1,0.0,0,4.0,4.0,3.0,10.0
19,0,0.0,0,3.0,3.0,3.0,10.0
21,0,0.0,0,,,,
19,0,0.0,0,4.0,4.0,3.0,10.0
20,0,0.0,0,1.0,3.0,2.0,7.0
21,0,0.0,0,3.0,3.0,3.0,9.0
20,1,0.0,0,3.0,3.0,3.0,9.0
20,0,0.0,0,3.0,3.0,3.0,9.0
19,0,0.0,0,3.0,4.0,3.0,9.0
21,1,0.0,0,4.0,4.0,2.0,9.0
18,1,0.0,0,3.0,3.0,3.0,10.0
18,0,0.0,1,3.0,4.0,3.0,10.0
19,0,0.0,1,3.0,3.0,1.0,7.0
20,1,0.0,1,2.0,4.0,3.0,8.0
23,1,0.0,1,3.0,3.0,3.0,9.0
20,0,0.0,1,3.0,4.0,3.0,9.0
20,0,0.0,1,3.0,3.0,3.0,9.0
22,1,0.0,1,3.0,3.0,3.0,8.0
21,0,0.0,1,4.0,4.0,2.0,9.0
20,1,0.0,1,3.0,4.0,3.0,10.0
21,0,0.0,1,4.0,4.0,3.0,10.0
19,1,0.0,1,3.0,4.0,3.0,9.0
21,0,0.0,1,2.0,2.0,1.0,5.0
21,0,0.0,1,4.0,4.0,3.0,10.0
18,1,0.0,1,3.0,4.0,3.0,9.0
26,1,0.0,0,3.0,4.0,3.0,10.0
23,0,0.0,0,1.0,3.0,2.0,6.0
23,0,0.0,0,4.0,4.0,3.0,10.0
22,0,0.0,0,3.0,4.0,3.0,10.0
22,1,0.0,0,3.0,4.0,3.0,10.0
24,1,0.0,0,3.0,4.0,3.0,10.0
20,1,0.0,0,3.0,3.0,3.0,8.0
20,1,0.0,0,3.0,3.0,3.0,8.0
20,1,0.0,0,3.0,4.0,3.0,10.0
21,0,0.0,0,3.0,3.0,3.0,10.0
19,0,0.0,0,3.0,3.0,3.0,9.0
21,0,0.0,0,2.0,2.0,3.0,7.0
20,1,0.0,0,3.0,3.0,3.0,9.0
18,0,0.0,0,1.0,3.0,3.0,6.0
20,0,3.0,0,3.0,3.0,3.0,9.0
27,0,0.0,0,4.0,4.0,2.0,9.0
21,0,0.0,0,3.0,3.0,3.0,8.0
21,1,0.0,0,3.0,3.0,3.0,8.0
25,1,0.0,0,3.0,2.0,3.0,8.0
19,0,0.0,0,3.0,3.0,3.0,10.0
19,0,0.0,0,4.0,3.0,3.0,10.0
21,0,0.0,0,4.0,4.0,2.0,9.0
25,1,0.0,0,,,,
23,0,0.0,0,3.0,3.0,3.0,10.0
23,0,0.0,0,4.0,3.0,3.0,10.0
21,1,0.0,0,3.0,4.0,3.0,9.0
18,0,0.0,0,4.0,4.0,3.0,10.0
19,1,0.0,1,3.0,3.0,2.0,8.0
19,0,0.0,0,3.0,4.0,3.0,10.0
21,1,0.0,1,2.0,3.0,2.0,7.0
18,1,0.0,0,3.0,3.0,3.0,9.0
19,1,0.0,0,3.0,3.0,3.0,9.0
22,0,0.0,0,4.0,3.0,3.0,10.0
22,0,0.0,0,1.0,3.0,2.0,6.0
17,0,0.0,0,3.0,4.0,3.0,10.0
23,0,0.0,0,,,,
23,0,0.0,0,3.0,3.0,2.0,8.0
22,0,0.0,0,,,,
22,0,0.0,0,4.0,3.0,3.0,10.0
24,1,0.0,0,4.0,3.0,3.0,10.0
28,0,0.0,0,,,,
21,1,0.0,0,4.0,4.0,3.0,10.0
27,0,0.0,0,3.0,3.0,3.0,9.0
20,1,0.0,0,3.0,3.0,3.0,10.0
21,1,0.0,0,4.0,4.0,3.0,10.0
19,1,0.0,0,3.0,3.0,3.0,9.0
19,1,0.0,0,3.0,3.0,3.0,9.0
22,1,0.0,0,3.0,3.0,3.0,9.0
22,1,0.0,0,2.0,4.0,3.0,9.0
20,1,0.0,0,4.0,4.0,3.0,10.0
20,0,0.0,0,3.0,4.0,1.0,7.0
20,0,0.0,0,4.0,4.0,3.0,10.0
25,0,0.0,0,2.0,3.0,3.0,8.0
20,1,0.0,1,3.0,0.0,1.0,4.0
19,1,0.0,0,3.0,3.0,3.0,10.0
23,0,0.0,0,3.0,3.0,3.0,10.0
18,1,0.0,0,4.0,3.0,3.0,9.0
22,1,0.0,1,2.0,3.0,2.0,6.0
21,0,3.0,0,2.0,2.0,2.0,6.0
22,0,0.0,1,0.0,0.0,0.0,0.0
21,0,0.0,0,3.0,4.0,2.0,9.0
24,1,0.0,0,2.0,4.0,2.0,8.0
24,0,0.0,0,3.0,3.0,3.0,9.0
21,1,0.0,0,4.0,3.0,3.0,9.0
21,1,0.0,0,3.0,3.0,2.0,8.0
23,0,0.0,0,3.0,3.0,3.0,10.0
20,1,0.0,0,3.0,3.0,3.0,10.0
22,0,0.0,0,3.0,3.0,2.0,8.0
21,0,0.0,0,,,,
23,1,0.0,0,3.0,3.0,3.0,9.0
23,1,0.0,0,3.0,3.0,3.0,9.0
21,0,0.0,0,4.0,4.0,3.0,10.0
22,0,0.0,0,3.0,1.0,3.0,7.0
20,0,0.0,0,2.0,4.0,3.0,8.0
26,1,0.0,1,,,,
23,0,0.0,0,3.0,4.0,3.0,9.0
20,1,0.0,0,3.0,3.0,2.0,8.0
24,1,1.0,0,3.0,3.0,3.0,9.0
22,1,0.0,0,2.0,3.0,3.0,9.0
21,0,0.0,0,4.0,4.0,3.0,10.0
22,0,0.0,0,,,,
20,0,0.0,0,,,,
20,1,0.0,0,3.0,4.0,3.0,9.0
20,0,0.0,0,4.0,4.0,3.0,10.0
22,0,0.0,0,2.0,4.0,3.0,8.0
24,0,0.0,0,3.0,3.0,2.0,9.0
22,1,0.0,0,2.0,4.0,3.0,8.0
32,1,0.0,0,3.0,4.0,3.0,10.0
18,0,0.0,0,3.0,4.0,3.0,10.0
18,1,0.0,0,3.0,3.0,3.0,9.0
21,0,0.0,0,2.0,3.0,2.0,8.0
18,1,0.0,0,3.0,3.0,2.0,8.0
22,1,0.0,1,2.0,2.0,2.0,7.0
21,0,0.0,1,4.0,3.0,3.0,10.0
21,0,0.0,1,4.0,4.0,3.0,10.0
20,0,0.0,1,3.0,3.0,2.0,8.0
19,1,0.0,1,3.0,3.0,3.0,9.0
22,0,0.0,1,4.0,4.0,3.0,10.0
21,1,0.0,1,3.0,3.0,2.0,7.0
27,1,0.0,0,,,,
22,0,0.0,0,4.0,4.0,3.0,10.0
23,0,0.0,0,3.0,4.0,3.0,10.0
23,1,0.0,0,,,,
23,0,0.0,0,4.0,3.0,3.0,9.0
19,0,0.0,0,3.0,3.0,3.0,9.0
22,1,0.0,0,3.0,2.0,3.0,8.0
20,0,0.0,0,2.0,4.0,3.0,9.0
19,1,0.0,0,4.0,4.0,3.0,10.0
19,1,0.0,0,3.0,3.0,3.0,9.0
19,1,0.0,1,0.0,0.0,0.0,0.0
20,0,0.0,0,3.0,3.0,3.0,9.0
20,1,0.0,0,4.0,4.0,3.0,10.0
22,0,0.0,0,2.0,3.0,3.0,8.0
23,1,0.0,0,4.0,3.0,3.0,10.0
23,1,0.0,0,,,,
19,1,0.0,0,3.0,4.0,3.0,10.0
25,1,0.0,0,4.0,4.0,3.0,10.0
19,1,0.0,0,3.0,4.0,3.0,9.0
21,1,0.0,0,3.0,4.0,1.0,8.0
18,1,0.0,0,3.0,3.0,2.0,8.0
21,1,0.0,0,3.0,4.0,3.0,10.0
22,1,0.0,0,3.0,2.0,2.0,7.0
20,0,0.0,0,3.0,3.0,3.0,10.0
23,0,0.0,1,4.0,4.0,2.0,9.0
22,0,0.0,0,3.0,3.0,3.0,9.0
22,1,0.0,0,3.0,2.0,2.0,7.0
23,0,0.0,0,,,,
22,1,0.0,0,3.0,3.0,3.0,9.0
26,1,0.0,1,,,,
22,0,0.0,0,3.0,4.0,3.0,9.0
22,0,0.0,0,4.0,2.0,2.0,7.0
21,0,0.0,0,,,,
19,1,0.0,0,3.0,3.0,2.0,7.0
21,0,0.0,0,3.0,4.0,3.0,10.0
22,0,0.0,0,3.0,3.0,3.0,9.0
28,0,0.0,0,4.0,4.0,3.0,10.0
27,0,0.0,0,3.0,3.0,2.0,8.0
24,0,0.0,0,2.0,4.0,3.0,8.0
21,1,0.0,0,4.0,4.0,3.0,10.0
31,0,0.0,0,,,,
31,0,0.0,0,4.0,4.0,3.0,10.0
19,1,0.0,0,4.0,4.0,3.0,10.0
28,0,0.0,0,3.0,3.0,3.0,10.0
19,1,0.0,0,4.0,3.0,3.0,9.0
20,0,0.0,0,1.0,3.0,3.0,7.0
23,1,0.0,0,4.0,4.0,3.0,10.0
22,1,0.0,0,3.0,4.0,3.0,10.0
22,1,0.0,0,3.0,3.0,3.0,9.0
20,0,0.0,0,,,,
25,1,0.0,0,3.0,3.0,3.0,9.0
27,0,0.0,0,3.0,2.0,3.0,8.0
22,1,0.0,0,4.0,3.0,2.0,8.0
25,1,0.0,0,4.0,3.0,3.0,10.0
19,1,0.0,0,2.0,3.0,3.0,8.0
18,1,0.0,0,3.0,3.0,2.0,7.0
20,0,0.0,1,4.0,4.0,3.0,10.0
23,1,0.0,1,4.0,4.0,3.0,10.0
21,1,0.0,1,4.0,4.0,3.0,10.0
22,1,0.0,1,4.0,4.0,2.0,9.0
23,0,0.0,1,1.0,0.0,2.0,3.0
19,1,0.0,1,3.0,4.0,3.0,9.0
19,1,0.0,1,3.0,3.0,3.0,9.0
21,1,0.0,0,,,,
26,0,0.0,0,4.0,4.0,3.0,10.0
23,0,0.0,0,4.0,4.0,3.0,10.0
21,1,0.0,0,3.0,3.0,3.0,9.0
23,0,0.0,0,4.0,4.0,3.0,10.0
27,1,0.0,0,3.0,3.0,3.0,9.0
20,1,0.0,0,1.0,3.0,3.0,7.0
20,1,0.0,0,4.0,4.0,3.0,10.0
20,0,0.0,0,3.0,3.0,3.0,9.0
19,1,0.0,0,3.0,4.0,3.0,10.0
25,1,0.0,0,3.0,3.0,3.0,9.0
22,1,0.0,0,3.0,3.0,2.0,8.0
22,1,0.0,0,3.0,3.0,2.0,8.0
19,1,0.0,0,2.0,2.0,3.0,7.0
19,1,0.0,0,4.0,4.0,3.0,10.0
26,0,0.0,0,3.0,4.0,3.0,9.0
19,0,0.0,1,3.0,0.0,2.0,5.0
21,0,0.0,0,,,,
21,1,0.0,0,4.0,4.0,3.0,10.0
21,0,0.0,0,,,,
